english,hindi,English_Emotion,English_Confidence,Hindi_Emotion,Hindi_Confidence
"4 days after the massive tsunami struck Japan, hopes of finding anyone still alive were fading.",बडे पैमाने पर सुनामी से प्रभावीत जापान में 4 दिनो बाद कोई अभी तक जिंदा होने की आशाएँ लुप्त हो रही थी। ,fear,0.5430925488471985,surprise,0.6502758860588074
What was completing the square?,वर्ग का पूर्णा क्या था? ,surprise,0.694525420665741,surprise,0.5339207053184509
I have already done my work.,मैं अपना काम कर चुका हूँ। ,surprise,0.1851748824119568,surprise,0.567197859287262
National Mental Health Programme,राष्ट्रीय मनः स्वास्थ्य कार्यक्रम,surprise,0.49088382720947266,joy,0.7222669720649719
menu,क्रियावली,surprise,0.46110963821411133,surprise,0.6816816926002502
The inflation rate is apparently in the ascending degree.,मुद्रास्फीति की दर प्रत्यक्ष रूप से उपरली डिग्री में है। ,surprise,0.4437797963619232,anger,0.30425897240638733
A sludge of blood in the vessel causes absruction to blood flow.,वाहिका में रूधिर अवपंक रक्त प्रवाह में अवरोध का कारण है,surprise,0.5461074709892273,love,0.47816088795661926
Device,उपकरण,surprise,0.664078414440155,surprise,0.7226803302764893
Harkat - ul - Jihad al - Islami,हरकत-उल-जिहाद-ए-इस्लामी,surprise,0.5143184065818787,love,0.613381028175354
URL …,URL …,surprise,0.4676414430141449,surprise,0.4676414430141449
How do I raise the self - esteem of a child,किसी बच्चे का स्वाभिमान बढाना,surprise,0.5100547075271606,fear,0.5280827879905701
"Anshu replied, The other day I was on my terrace flying a kite.","अंशु बोला, आंटी मैं एक दिन अपनी छत पर पतंग उड़ा रहा था। ",surprise,0.6609435081481934,surprise,0.7906674146652222
The following is a typical example of many Telugu folk songs addressed to the moon.,निम्नलिखित तेलुगु गीत चंद्रमा से संबंधित लोक गीतों का एक उदाहरण हैं। ,surprise,0.25095564126968384,surprise,0.4512844979763031
Note,व्याख्या,surprise,0.5888981223106384,surprise,0.5478742718696594
and then fill in the box where your market would go.,और उसके बाद जहां आपके बाजार जाना होता तो बॉक्स में भरें। ,surprise,0.4114414155483246,surprise,0.7555748820304871
Sterilisation,विसंक्रमण,surprise,0.5702375173568726,love,0.45168057084083557
"Terrorists are not stupid; focusing on Arabs, as Smerconish urges, will prompt them to turn to non - Arab operatives. This is already a concern. Jean - Louis Bruguière, the leading French anti - terrorist investigating judge, warned along these lines in May 2003, recounts Robert Leiken, that “al - Qaida had stepped up its European recruiting efforts and was on the lookout for women and light - skinned converts in particular. ” The deputy director of a French intelligence agency, the Direction de la Surveillance du Territoire, even told Mr. Leiken that “converts are our most critical work now. ” < s > Smerconish responds to my argument by acknowledging that his book may at some point become obsolete, “but that day is not today. ” He sees physical appearance remaining a key predictor of intentions.",फिलाडेल्फिया डेली न्यूज़ के स्तंभकार और रेडियो टॉक शो के मेजबान माईकल ए. स्मरकोनिश ने अपनी नई और साहसी पुस्तक Flying Blind: How Political Correctness Continues to Compromise Airline Safety Post 9/11. में लिखा है कि प्रमुख तत्व नस्ल है. इसके विपरीत मेरा मानना है कि मुख्य बाहरी तत्व नहीं है वरन् यह है कि व्यक्ति के मस्तिष्क में क्या है जिसे इस्लामवादी आस्था कह सकते हैं. ,surprise,0.6017835736274719,surprise,0.6046444773674011
"I wish you all the very best. Let me conclude in the words of Confucius: ""Education breeds confidence. Confidence breeds hope. Hope breeds peace”.","मैं कन्फूसियस के शब्दों से अपनी बात समाप्त करता हूं, ‘शिक्षा से विश्वास पैदा होता है,विश्वास से उम्मीद पैदा होती है, उम्मीद से शांति पैदा होती है।’",joy,0.8695536255836487,fear,0.6231155395507812
No Title,कोई शीर्षक नहीं,surprise,0.5659164190292358,surprise,0.823447585105896
Select,चुनें,surprise,0.5219261646270752,surprise,0.7288698554039001
Dark Gray,गाढ़ा धूसर,sadness,0.4547989070415497,anger,0.3123250901699066
preserve,संभालना,surprise,0.46058425307273865,love,0.3609565794467926
It 's been my observation that most people get ahead during the time that others waste.,मैंने देखा है कि ज्यादातर लोग उस समय आगे निकल जाते हैं जब दूसरे समय को बरबाद कर रहे होते हैं। ,surprise,0.3421630561351776,anger,0.637584388256073
Emergency contraception can be use only up to 72 hours (3days) after the occurrence of unprotected sex.,असुरक्षित संभोग क्रिया के बाद 72 घंटे (3 दिन) तक ही आपाती गर्भ निरोधकों का प्रयोग किया जा सकता है। ,surprise,0.5617051124572754,surprise,0.40998613834381104
"The Constitution, which provides for certain basic safeguards which have been called fundamental rights, also provides for a quick and inexpensive remedy for the enforcement of such rights.","हमारे संविधान में, जिसमें कुछ आधारभूत रक्षोपाय दिए गए हैं जिन्हें मूल अधिकार कहा गया है, इन अधिकारों के प्रवर्तन के लिए त्वरित एवं कमखर्च उपाय की व्यवस्था भी की गई है। ",surprise,0.4492693543434143,surprise,0.7781657576560974
HTML5 can be used to create all sorts of,HTML5 के सभी प्रकार बनाने के लिए इस्तेमाल किया जा सकता है ,surprise,0.42574694752693176,surprise,0.48109155893325806
agency,सबील,surprise,0.5446459054946899,surprise,0.35077306628227234
"Allah, there is no god except He. He will gather you to the Resurrection Day, there is no doubt in it. And who is truer in statement than Allah?",अल्लाह तो वही परवरदिगार है जिसके सिवा कोई क़ाबिले परस्तिश नहीं वह तुमको क़यामत के दिन जिसमें ज़रा भी शक नहीं ज़रूर इकट्ठा करेगा और ख़ुदा से बढ़कर बात में सच्चा कौन होगा,surprise,0.7329568266868591,surprise,0.8214629292488098
market intermediary,विपणन बिचौलिया,surprise,0.5517339706420898,surprise,0.3717099726200104
