Original_English,Original_Hindi,Translated_Text,Input_Emotion,Translated_Emotion,Confidence_Deviation
"4 days after the massive tsunami struck Japan, hopes of finding anyone still alive were fading.",बडे पैमाने पर सुनामी से प्रभावीत जापान में 4 दिनो बाद कोई अभी तक जिंदा होने की आशाएँ लुप्त हो रही थी। ,"जापान में बड़े त्सुनामी के चार दिन बाद, किसी को जीवित खोजने की उम्मीदें फीकी पड़ रही थीं।",fear,surprise,0.3720263838768005
What was completing the square?,वर्ग का पूर्णा क्या था? ,चौराहे को पूरा करने के लिए क्या था?,surprise,surprise,0.0621814727783203
I have already done my work.,मैं अपना काम कर चुका हूँ। ,मैंने अपना काम पहले ही कर लिया है।,surprise,surprise,0.7312434315681458
National Mental Health Programme,राष्ट्रीय मनः स्वास्थ्य कार्यक्रम,राष्ट्रीय मानसिक स्वास्थ्य कार्यक्रम,surprise,surprise,0.0119328796863555
menu,क्रियावली,मेनू,surprise,surprise,0.0054821968078612
The inflation rate is apparently in the ascending degree.,मुद्रास्फीति की दर प्रत्यक्ष रूप से उपरली डिग्री में है। ,मुद्रास्फीति दर जाहिर तौर पर बढ़ रही है।,surprise,surprise,0.1051490902900695
A sludge of blood in the vessel causes absruction to blood flow.,वाहिका में रूधिर अवपंक रक्त प्रवाह में अवरोध का कारण है,रक्त के एक लात के कारण रक्त प्रवाह में अवशोषण होता है।,surprise,anger,0.0470576882362365
Device,उपकरण,उपकरण,surprise,surprise,0.0586018562316894
Harkat - ul - Jihad al - Islami,हरकत-उल-जिहाद-ए-इस्लामी,हरकत-उल-जिहाद अल-इस्लामी,surprise,fear,0.392615795135498
URL …,URL …,यूआरएल ...,surprise,surprise,0.0262522995471954
How do I raise the self - esteem of a child,किसी बच्चे का स्वाभिमान बढाना,मैं बच्चे की आत्मसम्मान कैसे बढ़ाऊँ,surprise,surprise,0.0524633526802063
"Anshu replied, The other day I was on my terrace flying a kite.","अंशु बोला, आंटी मैं एक दिन अपनी छत पर पतंग उड़ा रहा था। ","Anshu ने उत्तर दिया, ""पिछले दिन मैं अपने छत पर एक पतंग उड़ रहा था।",surprise,surprise,0.1004154682159423
The following is a typical example of many Telugu folk songs addressed to the moon.,निम्नलिखित तेलुगु गीत चंद्रमा से संबंधित लोक गीतों का एक उदाहरण हैं। ,निम्नलिखित चंद्रमा को संबोधित कई तेलुगु लोक गीतों का एक विशिष्ट उदाहरण है।,surprise,joy,0.0897621810436249
Note,व्याख्या,नोट,surprise,surprise,0.1470018327236175
and then fill in the box where your market would go.,और उसके बाद जहां आपके बाजार जाना होता तो बॉक्स में भरें। ,और फिर उस बॉक्स को भरें जहां आपका बाजार जाएगा।,surprise,surprise,0.0937798917293548
Sterilisation,विसंक्रमण,बाँझपन,surprise,surprise,0.1282189190387725
