Original_English,Original_Hindi,Translated_Text,Input_Emotion,Translated_Emotion,Confidence_Deviation
"4 days after the massive tsunami struck Japan, hopes of finding anyone still alive were fading.",बडे पैमाने पर सुनामी से प्रभावीत जापान में 4 दिनो बाद कोई अभी तक जिंदा होने की आशाएँ लुप्त हो रही थी। ,"जापान में ज़बरदस्त तूफान आने के 4 दिन बाद, किसी को भी ज़िंदा पाने की उम्मीद नहीं की गयी ।",fear,surprise,0.37202638387680054
What was completing the square?,वर्ग का पूर्णा क्या था? ,क्या वर्ग पूरा किया जा रहा था?,surprise,surprise,0.06218147277832031
I have already done my work.,मैं अपना काम कर चुका हूँ। ,मैंने पहले ही अपना काम कर लिया है.,surprise,surprise,0.7312434315681458
National Mental Health Programme,राष्ट्रीय मनः स्वास्थ्य कार्यक्रम,राष्ट्रीय मानसिक स्वास्थ्य कार्यक्रम,surprise,surprise,0.011932879686355535
menu,क्रियावली,मेन्यू,surprise,surprise,0.005482196807861273
The inflation rate is apparently in the ascending degree.,मुद्रास्फीति की दर प्रत्यक्ष रूप से उपरली डिग्री में है। ,सी. ए. डी.,surprise,surprise,0.10514909029006958
A sludge of blood in the vessel causes absruction to blood flow.,वाहिका में रूधिर अवपंक रक्त प्रवाह में अवरोध का कारण है,जहाज़ में लहू की बाढ़ से खून बहने का खतरा बढ़ जाता है ।,surprise,anger,0.04705768823623657
Device,उपकरण,उपकरण,surprise,surprise,0.05860185623168945
Harkat - ul - Jihad al - Islami,हरकत-उल-जिहाद-ए-इस्लामी,हरेत - फान - इस्लामी,surprise,fear,0.39261579513549805
URL …,URL …,यूआरएल...,surprise,surprise,0.026252299547195435
How do I raise the self - esteem of a child,किसी बच्चे का स्वाभिमान बढाना,मैं बच्चे का आत्म - सम्मान कैसे पैदा करता हूँ,surprise,surprise,0.0524633526802063
"Anshu replied, The other day I was on my terrace flying a kite.","अंशु बोला, आंटी मैं एक दिन अपनी छत पर पतंग उड़ा रहा था। ",एक दिन मैं अपनी बाँग्लाच पर चढ़ रहा था ।,surprise,surprise,0.10041546821594238
The following is a typical example of many Telugu folk songs addressed to the moon.,निम्नलिखित तेलुगु गीत चंद्रमा से संबंधित लोक गीतों का एक उदाहरण हैं। ,"इनमें से एक है, तेल - ताड़ के कई गीतों का उदाहरण ।",surprise,joy,0.08976218104362493
Note,व्याख्या,टिप्पणी,surprise,surprise,0.14700183272361755
